pickupLatitude,pickupLongitude,No of orders
12.99199963° N,77.70279694° E,178
12.99209976° N,77.57099915° E,48
12.99230003° N,77.57099915° E,4
12.99230003° N,77.79070282° E,4
12.99240017° N,77.66790009° E,20
12.99269962° N,77.75289917° E,3
12.99279976° N,77.54589844° E,25
12.99279976° N,77.55639648° E,201
12.99300003° N,77.66190338° E,80
12.99359989° N,77.66179657° E,26
12.99400043° N,77.69950104° E,2
12.99400043° N,77.69940186° E,1
12.99400043° N,77.55069733° E,96
12.99409962° N,77.70040131° E,1
12.99419975° N,77.70030212° E,7
12.99460030° N,77.59359741° E,136
12.99470043° N,77.61540222° E,45
12.99499989° N,77.55139923° E,10
12.99569988° N,77.55480194° E,18
12.99569988° N,77.71970367° E,"1,309"
12.99610043° N,77.60440063° E,34
12.99619961° N,77.69529724° E,50
12.99650002° N,77.61779785° E,3
12.99680042° N,77.61129761° E,290
12.99689960° N,77.69280243° E,108
12.99689960° N,77.69670105° E,43
12.99709988° N,77.61450195° E,10
12.99730015° N,77.54779816° E,45
12.99740028° N,77.69699860° E,1
12.99750042° N,77.54660034° E,111
12.99759960° N,77.54669952° E,6
12.99769974° N,77.67369843° E,10
12.99769974° N,77.69709778° E,1
12.99790001° N,77.75579834° E,6
12.99790001° N,77.54080200° E,5
12.99860001° N,77.67569733° E,5
12.99960041° N,77.61360168° E,5
12.99979973° N,77.59940338° E,6
12.99979973° N,77.55249786° E,2
12.99979973° N,77.55249786° E,1
13.00010014° N,77.48699951° E,2
13.00039959° N,77.48480225° E,3
13.00189972° N,77.53639984° E,59
13.00189972° N,77.57810211° E,13
13.00199986° N,77.57250214° E,26
13.00230026° N,77.67479706° E,1
13.00230026° N,77.75700378° E,2
13.00240040° N,77.75710297° E,2
13.00259972° N,77.63480377° E,14
13.00269985° N,77.59950256° E,"1,916"
13.00290012° N,77.48819733° E,5
13.00310040° N,77.56430054° E,1
13.00319958° N,76.11319733° E,261
13.00319958° N,77.75700378° E,15
13.00329971° N,77.55850220° E,179
13.00349998° N,77.71279907° E,1
13.00380039° N,77.61299896° E,130
13.00389957° N,77.48789978° E,1
13.00419998° N,77.70739746° E,23
13.00450039° N,77.71160126° E,109
13.00450039° N,77.71970367° E,74
13.00469971° N,77.71350098° E,54
13.00520039° N,77.62329865° E,64
13.00520039° N,77.59629822° E,27
13.00609970° N,77.69779968° E,12
13.00650024° N,77.64499664° E,3
13.00739956° N,77.73320007° E,294
13.00829983° N,77.66200256° E,4
13.00839996° N,77.65529633° E,281
13.00839996° N,77.65529633° E,1
13.00850010° N,77.75890350° E,1
13.00860023° N,77.69580078° E,5
13.00860023° N,77.75869751° E,15
13.00879955° N,77.66729736° E,10
13.00889969° N,77.65609741° E,3
13.00889969° N,77.65039825° E,11
13.00909996° N,77.65029907° E,20
13.00920010° N,77.65640259° E,22
13.00979996° N,77.65769958° E,124
13.00979996° N,77.66760254° E,"3,139"
13.01049995° N,77.70459747° E,41
13.01089954° N,77.63510132° E,12
13.01140022° N,77.67340088° E,1
13.01150036° N,77.67279816° E,59
13.01280022° N,77.76270294° E,1
13.01350021° N,77.64949799° E,818
13.01360035° N,77.64869690° E,1
13.01469994° N,77.63559723° E,2
13.01480007° N,77.54409790° E,1
13.01500034° N,77.63569641° E,1
13.01500034° N,77.63569641° E,3
13.01509953° N,77.70169830° E,3
13.01519966° N,77.63929749° E,1
13.01529980° N,77.63950348° E,1
13.01539993° N,77.70939636° E,86
13.01570034° N,77.70929718° E,909
13.01609993° N,77.65049744° E,1
13.01630020° N,77.65070343° E,3
13.01690006° N,77.59159851° E,2
13.01700020° N,77.70610046° E,1
13.01739979° N,77.76249695° E,267
13.01900005° N,77.67839813° E,22
13.01910019° N,77.67299652° E,23
13.01920033° N,77.59249878° E,84
13.01920033° N,77.64739990° E,27
13.01930046° N,77.65579987° E,67
13.01970005° N,77.67389679° E,21
13.01990032° N,77.59220123° E,69
13.02019978° N,77.72260284° E,23
13.02029991° N,77.70480347° E,222
13.02060032° N,77.64320374° E,44
13.02079964° N,77.68550110° E,25
13.02079964° N,77.65699768° E,6
13.02099991° N,77.68160248° E,19
13.02120018° N,77.67749786° E,414
13.02149963° N,77.64330292° E,1
13.02149963° N,77.67199707° E,3
13.02149963° N,77.59239960° E,134
13.02169991° N,77.63999939° E,2
13.02260017° N,77.68969727° E,2
13.02270031° N,77.68990326° E,2
13.02299976° N,77.63960266° E,122
13.02309990° N,77.63700104° E,130
13.02330017° N,77.69010162° E,2
13.02330017° N,77.63960266° E,4
13.02340031° N,77.63700104° E,12
13.02350044° N,77.69599915° E,7
13.02350044° N,77.65090179° E,1
13.02400017° N,77.59259796° E,5
13.02410030° N,77.59179688° E,11
13.02420044° N,77.69400024° E,48
13.02420044° N,77.59670258° E,12
13.02429962° N,77.65119934° E,62
13.02460003° N,77.59449768° E,48
13.02460003° N,77.54859924° E,66
